element,isotope,mass,abundance,ratioC,unsaturation
H,1H,1.007825032,1,6,-0.5
D,2H,2.01410178,1,6,-0.5
[2]H,2H,2.014102,1.15E-04,6,-0.5
He,4He,4.002603254,1,0,0
Li,7Li,7.0160041,1,0,-0.5
Be,9Be,9.0121822,1,0,-1
[10]B,10B,10.012937,2.48E-01,0,0.5
B,11B,11.0093055,1,0,0.5
C,12C,12,1,0,1
[13]C,13C,13.003355,1.08E-02,0,1
N,14N,14.00307401,1,4,0.5
[15]N,15N,15.000109,3.65E-03,4,0.5
O,16O,15.99491462,1,3,0
[18]O,18O,17.99916,2.05E-03,3,0
F,19F,18.9984032,1,6,-0.5
Ne,20Ne,19.99244018,1,0,0
Na,23Na,22.98976966,1,0,-0.5
Mg,24Mg,23.98504187,1,0,-1
Al,27Al,26.98153863,1,0,-1.5
Si,28Si,27.97692649,1,1,1
[29]Si,29Si,28.976495,5.08E-02,3,1
[30]Si,30Si,29.97377,3.35E-02,3,1
P,31P,30.97376149,1,2,0.5
S,32S,31.97207073,1,3,0
[34]S,34S,33.967867,4.47E-02,3,0
Cl,35Cl,34.96885271,1,2,-0.5
[37]Cl,37Cl,36.965903,3.20E-01,2,-0.5
K,39K,38.9637069,1,0,-0.5
Ar,40Ar,39.96238312,1,0,0
Ca,40Ca,39.9625912,1,0,-1
[41]K,41K,40.961826,7.22E-02,0,-0.5
[44]Ca,44Ca,43.955481,2.15E-02,0,-1
Sc,45Sc,44.9559119,1,0,0
Ti,48Ti,47.9479463,1,0,0
V,51V,50.9439595,1,0,0
Cr,52Cr,51.9405075,1,0,0
Mn,55Mn,54.9380451,1,0,0
Fe,56Fe,55.9349418,1,0,0
Ni,58Ni,57.9353429,1,0,-1
Co,59Co,58.933195,1,0,0
Cu,63Cu,62.9295975,1,0,0
Zn,64Zn,63.9291422,1,0,0
Ga,69Ga,68.9255736,1,0,0
Ge,74Ge,73.9211778,1,0,0
As,75As,74.9215965,1,0,0
Br,79Br,78.9183379,1,2,-0.5
Se,80Se,79.9165213,1,0,0
[81]Br,81Br,80.916291,9.73E-01,2,-0.5
Kr,84Kr,83.911507,1,0,0
Rb,85Rb,84.91178974,1,0,0
Sr,88Sr,87.9056121,1,0,0
Y,89Y,88.9058483,1,0,0
Zr,90Zr,89.9047044,1,0,0
Nb,93Nb,92.9063781,1,0,0
Mo,98Mo,97.9054082,1,0,0
Ru,102Ru,101.9043493,1,0,0
Rh,103Rh,102.905504,1,0,0
Pd,106Pd,105.903486,1,0,0
Ag,107Ag,106.905097,1,0,0
Cd,114Cd,113.9033585,1,0,0
In,115In,114.903878,1,0,0
Sn,120Sn,119.9021947,1,0,0
Sb,121Sb,120.9038157,1,0,0
I,127I,126.904473,1,0,0
Te,130Te,129.9062244,1,0,0
Xe,132Xe,131.9041535,1,0,0
Cs,133Cs,132.9054519,1,0,0
Ba,138Ba,137.9052472,1,0,0
La,139La,138.9063533,1,0,0
Ce,140Ce,139.9054387,1,0,0
Pr,141Pr,140.9076528,1,0,0
Nd,142Nd,141.9077233,1,0,0
Sm,152Sm,151.9197324,1,0,0
Eu,153Eu,152.9212303,1,0,0
Gd,158Gd,157.9241039,1,0,0
Tb,159Tb,158.9253468,1,0,0
Dy,164Dy,163.9291748,1,0,0
Ho,165Ho,164.9303221,1,0,0
Er,166Er,165.9302931,1,0,0
Tm,169Tm,168.9342133,1,0,0
Yb,174Yb,173.9388621,1,0,0
Lu,175Lu,174.9407718,1,0,0
Hf,180Hf,179.94655,1,0,0
Ta,181Ta,180.9479958,1,0,0
W,184W,183.9509312,1,0,0
Re,187Re,186.9557531,1,0,0
Os,192Os,191.9614807,1,0,0
Ir,193Ir,192.9629264,1,0,0
Pt,195Pt,194.9647911,1,0,0
Au,197Au,196.9665687,1,0,0
Hg,202Hg,201.970643,1,0,0
Tl,205Tl,204.9744275,1,0,0
Pb,208Pb,207.9766521,1,0,0
Bi,209Bi,208.9803987,1,0,0
Pa,231Pa,231.035884,1,0,0
Th,232Th,232.0380553,1,0,0
U,238U,238.0507882,1,0,0
