"element","isotope","mass","abundance","ratioC","Mass_Dif","unsaturation"
"H","1H",1.007825032,1,6,0,-0.5
"[2]H","2H",2.014101778,0.00011501322652105,6,1.006276746,-0.5
"[3]He","3He",3.016029319,1.34000179560241e-06,0,-0.986573935,0
"He","4He",4.002603254,1,0,0,0
"[6]Li","6Li",6.0151223,0.0821339681852613,0,-1.0008818,-0.5
"Li","7Li",7.0160041,1,0,0,-0.5
"Be","9Be",9.0121822,1,0,0,-1
"[10]B","10B",10.0129371,0.248439450686642,0,-0.9963684,0.5
"B","11B",11.0093055,1,0,0,0.5
"C","12C",12,1,0,0,1
"[13]C","13C",13.00335484,0.0108157282927322,0,1.00335484,1
"N","14N",14.00307401,1,4,0,0.5
"[15]N","15N",15.00010897,0.00365329800473724,4,0.997034959999999,0.5
"O","16O",15.99491462,1,3,0,0
"[17]O","17O",16.9991315,0.000380925649327867,3,1.00421688,0
"[18]O","18O",17.9991604,0.00205499363453191,3,2.00424578,0
"F","19F",18.9984032,1,6,0,-0.5
"Ne","20Ne",19.99244018,1,0,0,0
"[21]Ne","21Ne",20.99384668,0.0029840848806366,0,1.0014065,0
"[22]Ne","22Ne",21.99138511,0.102232537577365,0,1.99894493,0
"Na","23Na",22.98976966,1,0,0,-0.5
"Mg","24Mg",23.98504187,1,0,0,-1
"[25]Mg","25Mg",24.985837,0.126598303582732,0,1.00079513,-1
"[26]Mg","26Mg",25.982593,0.139384732244588,0,1.99755113,-1
"Al","27Al",26.98153863,1,0,0,-1.5
"Si","28Si",27.97692649,1,1,0,1
"[29]Si","29Si",28.97649468,0.0508007763789944,1,0.999568189999998,1
"[30]Si","30Si",29.97377018,0.0335274280819318,1,1.99684369,1
"P","31P",30.97376149,1,2,0,0.5
"S","32S",31.97207073,1,3,0,0
"[33]S","33S",32.97145854,0.00789556795452153,3,0.999387810000002,0
"[34]S","34S",33.96786687,0.0447415517422887,3,1.99579614,0
"[36]S","36S",35.96708088,0.00010527423939362,3,3.99501015,0
"Cl","35Cl",34.96885271,1,2,0,-0.5
"[37]Cl","37Cl",36.9659026,0.319957761351637,2,1.99704989,-0.5
"[36]Ar","36Ar",35.96754511,0.00337850388000839,0,-3.99483801,0
"[38]Ar","38Ar",37.9627324,0.000634536241356703,0,-1.99965072,0
"Ar","40Ar",39.96238312,1,0,0,0
"K","39K",38.9637069,1,0,0,-0.5
"[40]K","40K",39.96399867,0.000125458271185023,0,1.00029177,-0.5
"[41]K","41K",40.96182597,0.0721674578401233,0,1.99811907,-0.5
"Ca","40Ca",39.9625912,1,0,0,-1
"[42]Ca","42Ca",41.9586183,0.0066741626350048,0,1.9960271,-1
"[43]Ca","43Ca",42.9587668,0.00139259962245077,0,2.9961756,-1
"[44]Ca","44Ca",43.9554811,0.0215182430550541,0,3.9928899,-1
"[46]Ca","46Ca",45.9536927,4.12622110355783e-05,0,5.9911015,-1
"[48]Ca","48Ca",47.952533,0.00192900836591329,0,7.9899418,-1
"Sc","45Sc",44.9559119,1,0,0,0
"[46]Ti","46Ti",45.9526316,0.111909929462832,0,-1.9953147,0
"[47]Ti","47Ti",46.9517631,0.100922409115572,0,-0.996183199999997,0
"Ti","48Ti",47.9479463,1,0,0,0
"[49]Ti","49Ti",48.94787,0.0733857840477482,0,0.999923700000004,0
